1679,Ｓｉｍｐｌｅ－Ｘ　ＮＹダウ・ジョーンズ・インデックス上場投信,ETF,-
1680,上場インデックスファンド海外先進国株式（ＭＳＣＩ－ＫＯＫＵＳＡＩ）,ETF,-
1681,上場インデックスファンド海外新興国株式（ＭＳＣＩエマージング）,ETF,-
1682,ＮＥＸＴ　ＦＵＮＤＳ　日経・ＪＰＸ白金指数連動型上場投信,ETF,-
1684,ＷｉｓｄｏｍＴｒｅｅ　ブロード上場投資信託,ETF,-
1685,ＷｉｓｄｏｍＴｒｅｅ　エネルギー上場投資信託,ETF,-
1686,ＷｉｓｄｏｍＴｒｅｅ　産業用金属上場投資信託,ETF,-
1687,ＷｉｓｄｏｍＴｒｅｅ　農産物上場投資信託,ETF,-
1688,ＷｉｓｄｏｍＴｒｅｅ　穀物上場投資信託,ETF,-
1689,ＷｉｓｄｏｍＴｒｅｅ　天然ガス上場投資信託,ETF,-
1690,ＷｉｓｄｏｍＴｒｅｅ　ＷＴＩ　原油上場投資信託,ETF,-
1691,ＷｉｓｄｏｍＴｒｅｅ　ガソリン上場投資信託,ETF,-
1692,ＷｉｓｄｏｍＴｒｅｅ　アルミニウム上場投資信託,ETF,-
1693,ＷｉｓｄｏｍＴｒｅｅ　銅上場投資信託,ETF,-
1694,ＷｉｓｄｏｍＴｒｅｅ　ニッケル上場投資信託,ETF,-
1695,ＷｉｓｄｏｍＴｒｅｅ　小麦上場投資信託,ETF,-
1696,ＷｉｓｄｏｍＴｒｅｅ　とうもろこし上場投資信託,ETF,-
1697,ＷｉｓｄｏｍＴｒｅｅ　大豆上場投資信託,ETF,-
1698,上場インデックスファンド日本高配当（東証配当フォーカス１００）,ETF,-
1699,ＮＥＸＴ　ＦＵＮＤＳ　ＮＯＭＵＲＡ原油インデックス連動型上場投信,ETF,-
1711,省電舎ホールディングス,東２,建設・資材 
1712,ダイセキ環境ソリューション,東１,建設・資材 
1716,第一カッター興業,東１,建設・資材 
1717,明豊ファシリティワークス,東１,情報通信・サービスその他 
1718,美樹工業,ＪＱ.S,建設・資材 
1719,安藤・間,東１,建設・資材 
1720,東急建設,東１,建設・資材 
1721,コムシスホールディングス,東１,建設・資材 
1723,日本電技,ＪＱ.S,建設・資材 
1724,シンクレイヤ,ＪＱ.S,建設・資材 
1726,ビーアールホールディングス,東１,建設・資材 
1728,ミサワホーム中国,ＪＱ.S,建設・資材 
